year,month,day,rmm1,rmm2,amplitude
1946.0,3.0,7.0,0.7496566772460938,-0.9476408362388611,1.2083079814910889
1946.0,3.0,8.0,0.7242134809494019,-0.8618555665016174,1.1257354021072388
1946.0,3.0,9.0,0.6735853552818298,-0.7840874195098877,1.033687710762024
1946.0,3.0,10.0,0.6108246445655823,-0.7171015739440918,0.9419879913330078
1946.0,3.0,11.0,0.5492076277732849,-0.6613826751708984,0.8596836924552917
1946.0,3.0,12.0,0.5006327629089355,-0.6153233647346497,0.7932565808296204
1946.0,3.0,13.0,0.4742385447025299,-0.5756507515907288,0.7458391189575195
1946.0,3.0,14.0,0.4754125773906708,-0.5380184650421143,0.717970073223114
1946.0,3.0,15.0,0.5053077340126038,-0.497676283121109,0.709237277507782
1946.0,3.0,16.0,0.5609146952629089,-0.45013025403022766,0.7191957831382751
1946.0,3.0,17.0,0.6356608271598816,-0.3917124271392822,0.7466614842414856
1946.0,3.0,18.0,0.7204408049583435,-0.32000333070755005,0.7883128523826599
1946.0,3.0,19.0,0.8049246072769165,-0.23407045006752014,0.8382676243782043
1946.0,3.0,20.0,0.8789615035057068,-0.13451583683490753,0.8891950845718384
1946.0,3.0,21.0,0.9338870644569397,-0.023347539827227592,0.93417888879776
1946.0,3.0,22.0,0.9635630249977112,0.09629091620445251,0.9683623313903809
1946.0,3.0,23.0,0.9650224447250366,0.2204868495464325,0.9898902773857117
1946.0,3.0,24.0,0.9386476278305054,0.34497031569480896,1.0000319480895996
1946.0,3.0,25.0,0.8878800272941589,0.46552276611328125,1.0025180578231812
1946.0,3.0,26.0,0.8185197710990906,0.5783417224884033,1.0022244453430176
1946.0,3.0,27.0,0.7377302646636963,0.6803295612335205,1.0035408735275269
1946.0,3.0,28.0,0.6528974175453186,0.7692870497703552,1.0089982748031616
1946.0,3.0,29.0,0.5705071687698364,0.844001829624176,1.018733263015747
1946.0,3.0,30.0,0.49519720673561096,0.9042319059371948,1.0309488773345947
1946.0,3.0,31.0,0.429109662771225,0.950591504573822,1.042957067489624
1946.0,11.0,1.0,0.19815415143966675,0.5985519289970398,0.6304993629455566
1946.0,11.0,2.0,0.16982820630073547,0.6031124591827393,0.6265670657157898
1946.0,11.0,3.0,0.18574219942092896,0.6200284957885742,0.6472522616386414
1946.0,11.0,4.0,0.2388671487569809,0.6617121696472168,0.7035058736801147
1946.0,11.0,5.0,0.3159421682357788,0.7363740801811218,0.8012903332710266
1946.0,11.0,6.0,0.39923548698425293,0.8462917804718018,0.9357343316078186
1946.0,11.0,7.0,0.46899670362472534,0.9869352579116821,1.0927027463912964
1946.0,11.0,8.0,0.5062540173530579,1.147117018699646,1.2538622617721558
1946.0,11.0,9.0,0.49555471539497375,1.3101848363876343,1.4007707834243774
1946.0,11.0,10.0,0.4272511899471283,1.456108570098877,1.5174964666366577
1946.0,11.0,11.0,0.29899489879608154,1.5641781091690063,1.5924984216690063
1946.0,11.0,12.0,0.11621636897325516,1.6159194707870483,1.6200932264328003
1946.0,11.0,13.0,-0.10848462581634521,1.597800850868225,1.601479411125183
1946.0,11.0,14.0,-0.35695475339889526,1.5033189058303833,1.5451163053512573
1946.0,11.0,15.0,-0.6078758835792542,1.3341389894485474,1.4660968780517578
1946.0,11.0,16.0,-0.8395805954933167,1.100104808807373,1.383880853652954
1946.0,11.0,17.0,-1.0328848361968994,0.8180963397026062,1.3176238536834717
1946.0,11.0,18.0,-1.1735267639160156,0.5098920464515686,1.2795135974884033
1946.0,11.0,19.0,-1.253861427307129,0.19934013485908508,1.2696081399917603
1946.0,11.0,20.0,-1.2735756635665894,-0.09074624627828598,1.2768045663833618
1946.0,11.0,21.0,-1.2393319606781006,-0.34151098132133484,1.285524606704712
1946.0,11.0,22.0,-1.1634185314178467,-0.5403608679771423,1.2827831506729126
1946.0,11.0,23.0,-1.0616261959075928,-0.6823131442070007,1.2619831562042236
1946.0,11.0,24.0,-0.9506934285163879,-0.7701895833015442,1.2235236167907715
1946.0,11.0,25.0,-0.8457189202308655,-0.8136385083198547,1.1735621690750122
1946.0,11.0,26.0,-0.7579429745674133,-0.8271469473838806,1.1218955516815186
1946.0,11.0,27.0,-0.6932350993156433,-0.827364981174469,1.0794016122817993
1946.0,11.0,28.0,-0.6515114903450012,-0.8301674127578735,1.0552939176559448
1946.0,11.0,29.0,-0.6271536946296692,-0.8479247093200684,1.0546554327011108
1946.0,11.0,30.0,-0.6103424429893494,-0.8874197006225586,1.07704758644104
1946.0,12.0,1.0,-0.6521924138069153,-0.9609876275062561,1.1614009141921997
1946.0,12.0,2.0,-0.6135222911834717,-1.028923749923706,1.1979539394378662
1946.0,12.0,3.0,-0.5477729439735413,-1.093851923942566,1.2233426570892334
1946.0,12.0,4.0,-0.44923901557922363,-1.1425511837005615,1.2276966571807861
1946.0,12.0,5.0,-0.31783780455589294,-1.161972999572754,1.2046585083007812
1946.0,12.0,6.0,-0.1594068706035614,-1.1417393684387207,1.1528136730194092
1946.0,12.0,7.0,0.015019424259662628,-1.0762850046157837,1.0763897895812988
1946.0,12.0,8.0,0.1908465027809143,-0.9662721157073975,0.9849386811256409
1946.0,12.0,9.0,0.35220831632614136,-0.8190180063247681,0.891538679599762
1946.0,12.0,10.0,0.48453810811042786,-0.6478318572044373,0.8089890480041504
1946.0,12.0,11.0,0.5769968032836914,-0.47032520174980164,0.7443998456001282
1946.0,12.0,12.0,0.6243529319763184,-0.3059333264827728,0.6952782273292542
1946.0,12.0,13.0,0.6279900670051575,-0.17301566898822784,0.6513876914978027
1946.0,12.0,14.0,0.5958532094955444,-0.0859830304980278,0.602025032043457
1946.0,12.0,15.0,0.5413185358047485,-0.05290916934609413,0.5438981056213379
1946.0,12.0,16.0,0.4811420440673828,-0.07402068376541138,0.4868025481700897
1946.0,12.0,17.0,0.4327973425388336,-0.1413336992263794,0.455289751291275
1946.0,12.0,18.0,0.4116186797618866,-0.23953375220298767,0.47624191641807556
1946.0,12.0,19.0,0.4282040596008301,-0.3480040729045868,0.5517839789390564
1946.0,12.0,20.0,0.4865022599697113,-0.4437272846698761,0.658466637134552
1946.0,12.0,21.0,0.5829077959060669,-0.5046426057815552,0.771003007888794
1946.0,12.0,22.0,0.7065338492393494,-0.5129608511924744,0.8731088042259216
1946.0,12.0,23.0,0.8406489491462708,-0.4579330086708069,0.9572843313217163
1946.0,12.0,24.0,0.9650827050209045,-0.3376421630382538,1.0224416255950928
1946.0,12.0,25.0,1.0592448711395264,-0.15952551364898682,1.0711901187896729
1946.0,12.0,26.0,1.1053037643432617,0.06047740951180458,1.106956958770752
1946.0,12.0,27.0,1.0910354852676392,0.3000496029853821,1.1315423250198364
1946.0,12.0,28.0,1.0118958950042725,0.533599317073822,1.1439673900604248
1946.0,12.0,29.0,0.8719853758811951,0.7358936667442322,1.141007423400879
1946.0,12.0,30.0,0.6837374567985535,0.8856910467147827,1.1189037561416626
1946.0,12.0,31.0,0.46635696291923523,0.9688306450843811,1.0752309560775757
1947.0,1.0,1.0,0.393090158700943,0.9511159062385559,1.0291459560394287
1947.0,1.0,2.0,0.2095572054386139,0.8990253210067749,0.9231255054473877
1947.0,1.0,3.0,0.055426426231861115,0.793745219707489,0.7956780195236206
1947.0,1.0,4.0,-0.054279670119285583,0.6564292907714844,0.658669650554657
1947.0,1.0,5.0,-0.11110149323940277,0.5124320387840271,0.5243378281593323
1947.0,1.0,6.0,-0.11439146846532822,0.38756611943244934,0.4040951728820801
1947.0,1.0,7.0,-0.07141496986150742,0.30426815152168274,0.31253674626350403
1947.0,1.0,8.0,0.003713541431352496,0.2782377600669861,0.27826252579689026
1947.0,1.0,9.0,0.09210018813610077,0.31604233384132385,0.3291887044906616
